Date,Subject,Location,Cabinet,DG name/Portfolio,Attending from Commission,Other lobbyists
1/19/2016,Southern Corridor,Brussels,Cabinet of High Representative / Vice-President Federica Mogherini,Foreign Affairs and Security Policy,Iwona Piorko Bermig (Cabinet member),
2/15/2016,BP Southern Gas Corridor,Brussels,Cabinet of Commissioner Jonathan Hill,"Financial Stability, Financial Services and Capital Markets Union",Jonathan Hill (Commissioner),
2/17/2016,The implementation of EU legislation currently in development,Brussels,,"Financial Stability, Financial Services and Capital Markets Union",Olivier Guersent (Director-General),"TotalEnergies SE,Shell Companies"
2/22/2016,Southern Gas Corridor,Brussels,Cabinet of Vice-President Maroš Šefčovič,Energy Union,Bernd Biervert (Cabinet member),
5/17/2016,Southern Gas Corridor,Thessaloniki,Cabinet of Vice-President Maroš Šefčovič,Energy Union,"Bernd Biervert (Cabinet member),Maroš Šefčovič (Vice-President)",
8/31/2016,Energy Policy in European Neighbourhood,Brussels,Cabinet of Vice-President Johannes Hahn,European Neighbourhood Policy & Enlargement Negotiations,Michael Karnitschnig (Cabinet member),
9/13/2016,Reception,Brussels,Cabinet of Commissioner Phil Hogan,Agriculture & Rural Development,Shane Sutherland (Cabinet member),
11/22/2016,State of play Southern Gas Corridor,Brussels,Cabinet of Vice-President Maroš Šefčovič,Energy Union,Bernd Biervert (Cabinet member),
2/15/2017,Political Situation in Europe,Brussels,Cabinet of Vice-President Johannes Hahn,European Neighbourhood Policy & Enlargement Negotiations,Michael Karnitschnig (Cabinet member),
2/23/2017,State of play Southern Gas Corridor,Baku,Cabinet of Vice-President Maroš Šefčovič,Energy Union,"Bernd Biervert (Cabinet member),Maroš Šefčovič (Vice-President)","Trans Adriatic Pipeline,Trans Adriatic Pipeline"
3/22/2017,trade barriers between EU and Russian federation,Brussels,Cabinet of Commissioner Elżbieta Bieńkowska,"Internal Market, Industry, Entrepreneurship and SMEs",Kaius Kristian Hedberg (Cabinet member),"Siemens AG,YIT Corporation,Association of European Businesses,Alstom,Coleman Services UK,Volkswagen Aktiengesellschaft"
