Date,Subject,Location,Cabinet,"DG name/Portfolio","Attending from Commission","Other lobbyists"
2016-09-21,"Energy policy","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)","France Industrie,JSC Atomenergoprom,Atomenergopromsbyt,Association Française des Entreprises Privées / French Association of Large Companies"
2016-10-05,"Energy policy","Paris, France",,Energy,"Dominique Ristori (Director-General)",
2016-10-24,"Total's renewables activities and views on EU biofuels policies.",Brussels,"Cabinet of Commissioner Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs","Simon O'Connor (Cabinet member)",
2016-11-07,"Energy Union innovation / Batteries",Bxl,"Cabinet of Vice-President Maroš Šefčovič","Energy Union","Manuel Szapiro (Cabinet member)",
2016-11-07,"Storage, batteries",Brussels,"Cabinet of Vice-President Maroš Šefčovič","Energy Union","Christian Linder (Cabinet member)",
2017-01-06,"energy policy","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2017-04-20,"Marché européen des batteries","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2017-11-29,"Energy policy developments","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2018-01-19,"Clean energy package","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2018-03-28,"Energy policy","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2018-05-20,"Energy policy","Teheran, Iran",,Energy,"Dominique Ristori (Director-General)",
2018-07-10,"energy policy","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2018-11-22,"energy policy","Brussels, Belgium",,Energy,"Dominique Ristori (Director-General)",
2020-02-05,"General presentation of the activities of the group",Brussels,"Cabinet of Commissioner Didier Reynders",Justice,"Geneviève Tuts (Cabinet member)",
2020-04-08,"Impact of Covid-19 on oil sector, role of clean energy investment for recovery; gas sector (LNG, hydrogen, clean transition); low carbon electricity & solar; Green Deal.",Video-conference,"Cabinet of Commissioner Kadri Simson",Energy,"Kitti Nyitrai (Cabinet member),Laure Chapuis-Kombos (Cabinet member),Stefano Grassi (Cabinet member)",
